Vessel Call Cd,Vessel Record Id,Cargo Client Code Cd,Berth Nbr,Actual Berth,Actual Unberth,First Activity,Last Activity,Gross Hour,Rain Hours,Gross Vessel Throughput,First Cargo,Last Cargo,Range Of Tonnage,Throughput per hour,Incident - Crane,Incident - Container
1500002556,56188,Cargo Client Code B,J3A,03/03/2015 07:00:00,03/03/2015 20:20:00,03/03/2015 08:30:00,03/03/2015 20:10:00,13.33,0.59,1091.58,03/03/2015 10:00:00,03/03/2015 20:10:00,1K-5K,82,0,0
1400016164,30641,Cargo Client Code P,J6,18/01/2015 04:15:00,18/01/2015 23:45:00,18/01/2015 08:00:00,18/01/2015 23:00:00,19.5,0,1594.14,,18/01/2015 23:00:00,1K-5K,82,0,1
1500006984,52916,Cargo Client Code F,J7,25/06/2015 09:55:00,26/06/2015 06:00:00,25/06/2015 10:40:00,26/06/2015 05:30:00,20.08,0,1641.51,25/06/2015 16:30:00,26/06/2015 05:30:00,1K-5K,82,0,1
1500004331,97923,Cargo Client Code S,J7,13/04/2015 12:30:00,14/04/2015 02:10:00,13/04/2015 15:15:00,14/04/2015 01:30:00,13.67,0.21,1129,13/04/2015 22:15:00,14/04/2015 01:30:00,1K-5K,83,0,1
1500002262,4056,Cargo Client Code F,J7,20/02/2015 09:10:00,21/02/2015 03:05:00,20/02/2015 12:00:00,21/02/2015 02:30:00,17.92,0,1493.76,,20/02/2015 15:40:00,1K-5K,83,0,0
1500002620,48274,Cargo Client Code B,J5/6,03/05/2015 08:50:00,03/06/2015 06:30:00,03/05/2015 09:00:00,03/05/2015 21:00:00,21.67,0.27,1798.04,03/05/2015 17:30:00,03/05/2015 21:00:00,1K-5K,83,0,0
1500006329,53595,Cargo Client Code B,J2A,06/03/2015 08:50:00,06/03/2015 21:15:00,06/03/2015 10:30:00,06/03/2015 21:00:00,12.42,0,1046.69,,06/03/2015 21:00:00,1K-5K,84,0,0
1500007341,53398,Cargo Client Code B,J3A,25/06/2015 07:20:00,25/06/2015 20:20:00,25/06/2015 07:45:00,25/06/2015 20:00:00,13,0,1088.57,25/06/2015 10:00:00,25/06/2015 20:00:00,1K-5K,84,0,0
1500003122,32478,Cargo Client Code B,J19,18/04/2015 17:00:00,19/04/2015 06:30:00,18/04/2015 17:15:00,18/04/2015 21:30:00,13.5,2.35,1140,,18/04/2015 21:30:00,1K-5K,84,0,0
1500005237,52455,Cargo Client Code B,J3A,05/06/2015 07:00:00,05/06/2015 20:45:00,05/06/2015 10:10:00,05/06/2015 20:15:00,13.75,0.68,1156.52,05/06/2015 14:15:00,05/06/2015 20:15:00,1K-5K,84,0,0
1500004927,32478,Cargo Client Code B,J18/19,05/02/2015 14:00:00,05/03/2015 06:30:00,05/02/2015 14:30:00,05/02/2015 19:15:00,16.5,3.78,1380.64,05/02/2015 16:30:00,05/02/2015 19:15:00,1K-5K,84,1,1
1500004456,52429,Cargo Client Code B,J7,17/04/2015 11:20:00,18/04/2015 06:30:00,17/04/2015 13:00:00,17/04/2015 23:30:00,19.17,0.2,1605,,17/04/2015 23:30:00,1K-5K,84,0,0
1500004615,32478,Cargo Client Code B,J19,25/04/2015 17:45:00,26/04/2015 06:30:00,25/04/2015 18:00:00,25/04/2015 22:15:00,12.75,0.34,1085,25/04/2015 19:00:00,25/04/2015 22:15:00,1K-5K,85,0,0
1500002698,37217,Cargo Client Code B,J2/3,03/06/2015 08:50:00,03/06/2015 21:45:00,03/06/2015 11:00:00,03/06/2015 21:30:00,12.92,0,1100.67,03/06/2015 12:50:00,03/06/2015 21:30:00,1K-5K,85,0,0
1500003696,81690,Cargo Client Code J,J7/8,30/03/2015 10:35:00,30/03/2015 23:00:00,30/03/2015 11:00:00,30/03/2015 22:30:00,12.42,0,1062.33,,30/03/2015 22:30:00,1K-5K,86,0,0
1400016662,108445,Cargo Client Code B,J2A,05/01/2015 07:50:00,05/01/2015 22:55:00,05/01/2015 10:00:00,05/01/2015 22:40:00,15.08,0,1294.78,05/01/2015 22:40:00,05/01/2015 22:40:00,1K-5K,86,0,0
1500000215,49306,Cargo Client Code K,J8/9,15/01/2015 10:15:00,16/01/2015 05:15:00,15/01/2015 10:30:00,16/01/2015 04:30:00,19,0,1629.36,15/01/2015 18:00:00,16/01/2015 01:00:00,1K-5K,86,0,0
1500002488,48275,Cargo Client Code B,J5/6,03/04/2015 09:10:00,03/05/2015 06:30:00,03/04/2015 09:30:00,03/04/2015 20:30:00,21.33,0.17,1839.54,03/04/2015 12:30:00,03/04/2015 20:30:00,1K-5K,86,0,0
1500004058,48275,Cargo Client Code B,J5/6,27/04/2015 09:15:00,27/04/2015 21:40:00,27/04/2015 10:30:00,27/04/2015 21:25:00,12.42,0.94,1078,27/04/2015 14:30:00,27/04/2015 21:25:00,1K-5K,87,0,0
1500007069,42050,Cargo Client Code B,J3A,18/06/2015 07:25:00,18/06/2015 20:30:00,18/06/2015 08:30:00,18/06/2015 20:00:00,13.08,0,1132.21,18/06/2015 11:30:00,18/06/2015 20:00:00,1K-5K,87,0,0
1500005386,18645,Cargo Client Code B,J18,15/05/2015 16:10:00,16/05/2015 06:30:00,15/05/2015 18:45:00,15/05/2015 21:15:00,14.33,0,1250.5,,15/05/2015 21:15:00,1K-5K,87,0,0
1500001663,48275,Cargo Client Code B,J5,25/02/2015 11:15:00,26/02/2015 06:30:00,25/02/2015 11:30:00,26/02/2015 00:30:00,19.25,1.63,1676.73,25/02/2015 18:00:00,26/02/2015 00:30:00,1K-5K,87,0,0
1500002986,48274,Cargo Client Code B,J6,17/03/2015 09:30:00,18/03/2015 06:30:00,17/03/2015 09:35:00,18/03/2015 00:30:00,21,0,1836.61,17/03/2015 13:30:00,18/03/2015 00:30:00,1K-5K,87,0,0
1500001976,34651,Cargo Client Code J,J5/6,28/02/2015 10:10:00,03/01/2015 10:10:00,28/02/2015 10:30:00,03/01/2015 06:30:00,24,0,2078.58,,03/01/2015 06:00:00,1K-5K,87,0,0
1500003524,52455,Cargo Client Code B,J3A,25/03/2015 07:05:00,25/03/2015 19:50:00,25/03/2015 08:15:00,25/03/2015 19:30:00,12.75,0,1125.41,25/03/2015 10:00:00,25/03/2015 19:30:00,1K-5K,88,0,0
1500006188,48274,Cargo Client Code B,J4,20/06/2015 09:35:00,20/06/2015 22:40:00,20/06/2015 09:50:00,20/06/2015 22:15:00,13.08,0,1147.81,20/06/2015 13:00:00,20/06/2015 22:15:00,1K-5K,88,0,0
1500003535,109148,Cargo Client Code F,J12B,29/03/2015 11:45:00,30/03/2015 03:00:00,29/03/2015 11:45:00,30/03/2015 02:30:00,15.25,2.03,1345.3,30/03/2015 02:30:00,,1K-5K,88,0,0
1500005063,57085,Cargo Client Code B,J4A,30/04/2015 10:45:00,05/01/2015 08:40:00,30/04/2015 11:00:00,05/01/2015 07:00:00,21.92,1,1922.34,30/04/2015 12:30:00,05/01/2015 07:00:00,1K-5K,88,0,0
1500004836,54827,Cargo Client Code B,J3A,29/04/2015 07:30:00,29/04/2015 20:20:00,29/04/2015 08:00:00,29/04/2015 20:00:00,12.83,0.53,1142,29/04/2015 14:15:00,29/04/2015 20:00:00,1K-5K,89,0,0
1500004439,50583,Cargo Client Code G,J6,21/04/2015 11:40:00,22/04/2015 03:45:00,21/04/2015 11:45:00,22/04/2015 03:30:00,16.08,0.36,1428,22/04/2015 00:00:00,22/04/2015 03:30:00,1K-5K,89,0,0
1500002668,40827,Cargo Client Code I,J7,09/03/2015 07:25:00,10/03/2015 01:20:00,09/03/2015 08:00:00,10/03/2015 00:30:00,17.92,1.24,1601.3,,09/03/2015 21:00:00,1K-5K,89,0,0
1500006978,52455,Cargo Client Code B,J3A,17/06/2015 08:05:00,17/06/2015 19:45:00,17/06/2015 08:30:00,17/06/2015 19:30:00,11.67,0.36,1066.9,17/06/2015 13:45:00,17/06/2015 19:30:00,1K-5K,91,0,0
1500002179,56458,Cargo Client Code B,J3,25/02/2015 10:20:00,25/02/2015 22:20:00,25/02/2015 11:00:00,25/02/2015 21:30:00,12,1.63,1090,25/02/2015 19:30:00,25/02/2015 21:30:00,1K-5K,91,0,0
1500003050,52455,Cargo Client Code B,J3A,17/03/2015 07:05:00,17/03/2015 20:20:00,17/03/2015 08:10:00,17/03/2015 20:05:00,13.25,0,1206.63,17/03/2015 10:30:00,17/03/2015 20:05:00,1K-5K,91,0,0
1500002596,87332,Cargo Client Code B,J5,11/03/2015 14:50:00,12/03/2015 06:40:00,11/03/2015 15:55:00,12/03/2015 03:30:00,15.83,1.21,1434.72,12/03/2015 03:30:00,12/03/2015 03:30:00,1K-5K,91,0,0
